CEP,Logradouro,Bairro,Cidade,UF,Estado,Região
"18110075","RUA MARIA AUGUSTA BAUCH","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110080","RUA ALMEIDA JUNIOR","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110085","RUA ACHILES LONGO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110085","RUA CARLOS ZANETTI","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110090","RUA EDUARDO PRADO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110095","RUA ALBERTINA NASCIMENTO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110105","RUA ANTONIO ESTA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110110","RUA SEBASTIAO LOPES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110115","RUA ITAPEVA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110130","RUA ACACIO MILLER","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110140","RUA PASCHOA BUSCARIOL","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110145","RUA ANGELO MARTINES ESCANILHA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110150","RUA JAIME DE CAMPOS","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110160","RUA CARMEN VEIGA LOPES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110170","RUA ANTONIO FERNANDES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110180","RUA ANDRE SENTELHAS","JARDIM NOVO MUNDO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110180","RUA CONCEICAO BEATRIZ GONCALVES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110190","RUA MIGUEL DIAS","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110200","RUA SEGUNDO LOPES CARMONA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110200","RUA SILVIO MATIOLLI","RIO ACIMA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110210","RUA GUIDO PICOLOTO","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110210","AVENIDA JOAO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110210","AVENIDA JOAO","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110210","AVENIDA JOAO","JARDIM PARAISO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110210","AVENIDA JOAO","PARQUE BELA VISTA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110215","RUA JOAO GUGONI","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110220","RUA JOAO ALARCON","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110225","RUA ADOLFO CAMPIONI","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110230","RUA AMELIA PISTELLI TERCIANI","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110235","RUA JOSE HERRERA HIGUERA","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110240","RUA ANA DE MELO","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110245","RUA GUIDO PICOLOTO","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110250","RUA PEDRO TRINCA","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110255","RUA GUILHERMINA GLORIA MONTEIRO RAMOS","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110255","RUA GUILHERMINA GLORIA MONTEIRO RAMOS","JARDIM PARAISO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110260","RUA VIRGILIO JANELLI","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110265","RUA ALBERTO GIL MIGUEL","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110270","RUA JOSE LOPES SALINAS","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110275","RUA ALFREDO POPS","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110280","RUA EMMA DAMONT MONARI","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110285","RUA JOSE OLIVEIRA","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110290","RUA 11","BAIRRO DOS MORROS","VOTORANTIM","SP","São Paulo","Sudeste"
"18110290","RUA AGOSTINHO RINALDI","JARDIM ICATU","VOTORANTIM","SP","São Paulo","Sudeste"
"18110290","ESTRADA DO CALIPA","BAIRRO DOS MORROS","VOTORANTIM","SP","São Paulo","Sudeste"
